date,srad,rhum,tmax,tmin,wspd,rain
1/1/1985,14.51,63.77,27.97,15.28,2.08,31.02817726
1/2/1985,17.14,65.8,27.13,15.6,1.99,0
1/3/1985,18.04,63.08,28.95,15.43,1.48,0
1/4/1985,13.75,68.62,27.34,15.25,2.25,0
1/5/1985,18.76,68.58,25.67,15.72,3.2,0
1/6/1985,19.4,68.73,26.36,15.02,3.09,0
1/7/1985,16.52,67.46,28.05,15.81,2.35,0
1/8/1985,14.4,68.27,28.46,16.56,2.12,0
1/9/1985,11.56,66.75,28.83,16.37,1.93,0
1/10/1985,14.94,68.88,28.28,16.53,2.28,0
1/11/1985,16.81,63.6,28.74,16.02,2.31,0
1/12/1985,21.02,56.9,28.73,16.57,1.92,0
1/13/1985,21.35,56.48,28.38,15.69,2.11,0
1/14/1985,18.58,59.3,28.58,15.18,1.79,0
1/15/1985,15.41,61.88,28.63,16.1,1.94,0
1/16/1985,13.64,62.29,28.68,16.51,2.2,0
1/17/1985,20.12,59.69,29.73,15.43,1.51,0
1/18/1985,18.68,54.84,29.62,16.6,1.3,0
1/19/1985,20.92,50.98,30.52,15.23,1.22,0
1/20/1985,22.21,47.01,31.41,15.29,0.73,0
1/21/1985,19.4,51.06,29.99,15.22,1.8,0
1/22/1985,18.32,66.47,27.98,16.44,2.57,0
1/23/1985,15.98,66.26,26.97,15.66,2.46,0
1/24/1985,21.1,58.02,28.18,14.83,2.32,0
1/25/1985,15.84,61.52,28.71,14.59,1.95,0
1/26/1985,20.7,55.31,28.98,15.74,2.06,0
1/27/1985,23.36,54.1,27.2,13.25,2.06,0
1/28/1985,21.74,53.42,29.9,14.26,1.48,0
1/29/1985,20.09,61.06,29.52,15.11,1.98,0
1/30/1985,20.3,59.15,29.07,15.36,2.28,0
1/31/1985,21.28,58.71,29.86,14.6,1.56,0
2/1/1985,23.69,52.69,31.68,16.7,0.97,0
2/2/1985,22.1,51.63,31.5,17.35,1.5,0
2/3/1985,11.92,58.92,30.45,15.3,2.14,0
2/4/1985,19.55,62.5,29.93,16.73,2.29,0
2/5/1985,16.45,65.78,30.02,16.38,1.92,0
2/6/1985,21.28,55.66,31.05,16.58,1.67,0
2/7/1985,17.96,59.12,30.94,17.26,1.61,0
2/8/1985,18.72,55.79,30.5,18.32,2.22,0
2/9/1985,19.98,52.22,29.83,16.37,2.38,0
2/10/1985,22.43,51.13,30.13,16.06,2.04,0
2/11/1985,24.3,56.63,31.11,14.32,1.72,0
2/12/1985,17.17,67.15,28.79,17.06,3.3,0
2/13/1985,17.71,62.35,28.73,16.34,3.53,0
2/14/1985,15.55,59.55,29.06,15.58,2.94,0
2/15/1985,16.78,61.33,28.99,15.83,3.24,0
2/16/1985,17.64,58.44,27.33,15.39,3.12,0
2/17/1985,19.84,62.5,29.45,15.16,2.87,0
2/18/1985,17.6,59.81,30.1,18.14,3.38,0
2/19/1985,18.58,61.34,29.5,17.61,2.94,0
2/20/1985,19.62,60.44,30.08,17.22,2.61,0
2/21/1985,18.94,59.25,30.72,16.73,2.9,0
2/22/1985,18.18,58.66,30.33,17.01,2.72,0
2/23/1985,23.76,60.18,31.07,16.24,2.51,0
2/24/1985,17.32,52.34,30.78,16.67,2.32,0
2/25/1985,20.95,56.92,30.49,16.07,2.41,0
2/26/1985,18.29,54.67,29.47,16.25,2.97,0
2/27/1985,15.23,55.68,30.06,16.83,3.19,0
2/28/1985,19.8,59.39,28.67,16.17,3.24,0
3/1/1985,21.71,54.21,30.78,16.51,2.63,0
3/2/1985,23.36,52.82,31.45,17.15,2.6,0
3/3/1985,22.5,55.59,31.84,17.48,2.52,0
3/4/1985,23.51,47.93,32.2,16.93,2.09,0
3/5/1985,22.9,55.37,31.81,16.31,2.81,0
3/6/1985,16.27,53.4,31.44,18.14,3.35,0
3/7/1985,18.61,53.12,30.36,17.32,3.19,0
3/8/1985,21.31,59.34,30.29,16.87,3.35,0
3/9/1985,18.18,57.61,31.12,18.76,3.4,0
3/10/1985,19.48,54.2,31.41,18.25,2.98,0
3/11/1985,22.25,52.36,31.19,17.56,3.06,0
3/12/1985,22.18,51.1,30.97,17.61,2.58,0
3/13/1985,23.33,48.29,30.74,16.44,2.27,0
3/14/1985,26.89,47.68,31.84,15.15,1.71,0
3/15/1985,25.09,44.44,32.22,16.57,1.64,0
3/16/1985,24.55,48.88,31.69,16.7,1.84,0
3/17/1985,19.19,40.17,32.85,17.33,1.45,0
3/18/1985,22.36,47.35,32.32,17.54,2.02,0
3/19/1985,22.82,47.65,32.98,18.01,1.76,0
3/20/1985,18.4,45.46,34.41,19,1.21,0
3/21/1985,23.54,43.97,35.4,19.53,0.95,0
3/22/1985,23.58,43.69,35.98,19.45,0.92,0
3/23/1985,25.7,41.14,35.54,19.2,1.15,0
3/24/1985,25.74,47.52,32.98,19.66,2.18,0
3/25/1985,24.91,54.18,32.83,18.27,2.64,0
3/26/1985,24.19,49.55,32.95,19.21,3.26,0
3/27/1985,20.63,53.89,33.26,19.25,3.18,0
3/28/1985,25.78,53.63,32.9,18.26,2.83,0
3/29/1985,22.39,50.09,33.45,17.88,2.22,0
3/30/1985,18.83,49.55,33.75,18.81,1.75,0
3/31/1985,21.67,48.98,33.28,18.34,1.32,0
4/1/1985,21.74,42.84,33.79,18.21,1.16,0
4/2/1985,20.02,46.4,33.89,19.18,1.39,0
4/3/1985,14.69,52.14,31.63,19.27,2.74,0
4/4/1985,24.26,52.12,32.45,17.03,2.4,0
4/5/1985,28.12,46.61,33.83,17.55,1.69,0
4/6/1985,24.37,46.73,34.32,19.17,1.96,0
4/7/1985,26.96,49.36,32.86,18.3,2.53,0
4/8/1985,20.99,48.51,32.01,18.14,2.86,0
4/9/1985,23.87,46.49,32.37,17.95,2.76,0
4/10/1985,26.03,46.33,32.76,18,2.44,0
4/11/1985,26.5,54.41,31.12,17.87,2.69,0
4/12/1985,17.71,54.14,33.13,18.95,2.57,0
4/13/1985,25.7,46.89,33.59,19.42,2.43,0
4/14/1985,26.28,51.45,32.61,20.17,1.96,0
4/15/1985,20.77,56.16,30.25,20.89,1.68,0
4/16/1985,19.19,47.27,33.94,19.6,1.94,0
4/17/1985,22.82,42.37,33.45,20.47,2.38,0
4/18/1985,24.73,48.79,32.9,19.41,2.93,0
4/19/1985,23.29,48.22,33.42,19.32,2.42,0
4/20/1985,20.05,49.09,33.61,20.05,2.1,0
4/21/1985,20.02,48.99,34.11,19.85,1.96,0
4/22/1985,18.61,48.87,33.84,20.96,1.06,0
4/23/1985,18.4,50.16,34.82,21.17,0.84,0
4/24/1985,20.09,56.17,33.39,21.5,0.7,0
4/25/1985,15.59,66.53,31.48,19.69,0.9,16.30892754
4/26/1985,8.46,65.28,30.87,20.26,0.97,25.03069496
4/27/1985,21.64,58.6,31.28,21.04,1.03,0
4/28/1985,10.91,49.17,33.14,20.05,1.26,0
4/29/1985,20.45,47.78,33.74,19.79,1.53,0
4/30/1985,21.78,43.9,34.14,20.37,1.26,0
5/1/1985,23.18,37.33,33.66,17.67,1.15,0
5/2/1985,24.62,40.4,32.87,17.77,1.39,0
5/3/1985,27.04,43.92,30.28,19.51,1.53,0
5/4/1985,22.21,40.62,33.2,17.57,1.39,0
5/5/1985,21.96,46.5,33.86,19.58,1.81,0
5/6/1985,22.21,54.1,34.1,20.25,2.15,0
5/7/1985,18.04,58.73,32.2,20.46,2,0
5/8/1985,20.09,65.47,31.01,19.74,1.38,43.53860092
5/9/1985,22.46,58.19,31.22,19.68,0.97,0
5/10/1985,22.75,58.74,31.77,20.48,0.44,21.76930046
5/11/1985,20.95,62.39,32.71,21.14,0.51,9.662656784
5/12/1985,21.49,87.24,24.94,21.41,0.67,14.49398327
5/13/1985,15.77,70.76,31.43,20.32,1.22,8.454823494
5/14/1985,23.76,59.06,33.39,21.29,1.06,4.227411747
5/15/1985,26.24,54.35,33.56,21.79,1.07,0
5/16/1985,23.83,51.2,34.44,21.6,1.61,0
5/17/1985,21.17,48.67,33.87,20.8,1.02,0
5/18/1985,24.26,49.84,33.19,20.32,0.84,1.133291602
