day,month,year,prec,tmax,tmin
1,1,1988,1,29.09,20.06
2,1,1988,0.26,29.72,21.08
3,1,1988,2.39,30.51,20.06
4,1,1988,5.01,28.58,19.94
5,1,1988,0.3,29.09,19.49
6,1,1988,0.05,30.23,18.98
7,1,1988,0,29.96,18.7
8,1,1988,0,30.8,18.47
9,1,1988,0,31.54,19.5
10,1,1988,0.07,32.04,20.03
11,1,1988,0.26,30.98,20.28
12,1,1988,0.61,30.73,19.91
13,1,1988,0.41,30.63,20.17
14,1,1988,0.39,30.22,18.93
15,1,1988,0.52,30.41,19.15
16,1,1988,0.24,30.67,18.73
17,1,1988,0.15,30.59,18.56
18,1,1988,0.16,31.29,18.04
19,1,1988,0.06,32.27,19.29
20,1,1988,0,32.05,19.48
21,1,1988,0.03,31.61,17.41
22,1,1988,0.18,30.74,18.39
23,1,1988,0,30.18,18.94
24,1,1988,0.01,31.14,18
25,1,1988,0.31,31.25,18.59
26,1,1988,2.08,28.22,18.04
27,1,1988,0.25,25.1,17.02
28,1,1988,0.07,26.61,16.38
29,1,1988,0.08,27.55,16.96
30,1,1988,0.16,29.13,17.87
31,1,1988,0.12,28.62,20.02
1,2,1988,0.22,31.93,19.46
2,2,1988,0.62,29.98,20.32
3,2,1988,0.29,30.19,20.61
4,2,1988,0.15,31.81,19.66
5,2,1988,0.74,30.82,19.51
6,2,1988,2.76,30.24,18.58
7,2,1988,0.19,29.69,18.81
8,2,1988,0.24,30.27,17.46
9,2,1988,0.1,31.12,18.37
10,2,1988,0.32,31.57,18.56
11,2,1988,0.36,30.55,18.55
12,2,1988,0.02,28.92,19.74
13,2,1988,0.24,30.6,19.02
14,2,1988,0.86,29.47,18.85
15,2,1988,0.06,32.39,18.92
16,2,1988,0.15,31.89,19.94
17,2,1988,0.04,32.13,19.54
18,2,1988,0,32.52,19.29
19,2,1988,0.01,33.24,18.02
20,2,1988,0,35.18,19.37
21,2,1988,0.19,34.06,19.54
22,2,1988,0.15,31.72,19.75
23,2,1988,0.01,29.5,19.84
24,2,1988,0.05,31.71,19.07
25,2,1988,0.04,31.43,19.51
26,2,1988,0.12,30.84,19.11
27,2,1988,0,30.72,18.14
28,2,1988,0,30.89,16.41
29,2,1988,0,31.03,17.09
1,3,1988,0,29.68,17.17
2,3,1988,0,30.78,16.47
3,3,1988,0,31.9,17.68
4,3,1988,0.22,32.9,18.73
5,3,1988,1.27,31.69,19.98
6,3,1988,0,33.07,19.71
7,3,1988,0,32.64,18.21
8,3,1988,0,32.99,18.59
9,3,1988,0,34.27,18.64
10,3,1988,0,34.54,18.71
11,3,1988,0,34.42,20.38
12,3,1988,0,34.48,18.54
13,3,1988,0,35.18,19.63
14,3,1988,0.83,36.5,19.75
15,3,1988,1.71,33.14,21.82
16,3,1988,0.02,31.08,20.79
17,3,1988,0,32.4,19.33
18,3,1988,0,33.29,18.88
19,3,1988,0,33.26,19.58
20,3,1988,0.09,31.88,19.99
21,3,1988,0.07,31.89,19.42
22,3,1988,0.03,32.07,19.05
23,3,1988,0,32.14,19
24,3,1988,0,32.63,19.28
25,3,1988,0,32.22,18.82
26,3,1988,0,32.42,18.42
27,3,1988,0,32.75,19.61
28,3,1988,0,33.08,19.91
29,3,1988,0,33.72,19.68
30,3,1988,0,33.53,20.46
31,3,1988,0.01,33.4,19.65
1,4,1988,0.15,33.5,19.55
2,4,1988,0.11,33.89,20.39
3,4,1988,0,34.13,20.78
4,4,1988,0,34.28,20.17
5,4,1988,0,34.18,20.54
6,4,1988,0.01,33.89,20.87
7,4,1988,0,34.36,20.98
8,4,1988,0,34.38,21.19
9,4,1988,1.65,33.58,19.99
10,4,1988,3.83,34.11,20.75
11,4,1988,3.05,33.74,20.24
